family,case,axis,axis_value,seed,variant,origin,outcome_px,window_start,window_end,track_path
drop,006_S02_V3-01_drop__m1,e,0.316227764,42,original,existing_anchor,0.06005803002921084,16,22,archive/evaluations/20260909_corrected_pcf_m_balance/tracking/trajectories/h2/006_S02_V3-01_drop__m1/pd66_006_S02_V3-01_drop__m1__eL0__s42.json
drop,006_S02_V3-01_drop__m1,e,0.547722578,42,original,existing_anchor,42.75426895550885,12,14,archive/evaluations/20260909_corrected_pcf_m_balance/tracking/trajectories/h2/006_S02_V3-01_drop__m1/pd66_006_S02_V3-01_drop__m1__eL1__s42.json
drop,006_S02_V3-01_drop__m1,e,0.707106769,42,original,existing_anchor,67.90636541715946,13,14,archive/evaluations/20260909_corrected_pcf_m_balance/tracking/trajectories/h2/006_S02_V3-01_drop__m1/pd66_006_S02_V3-01_drop__m1__CENTER__s42.json
drop,006_S02_V3-01_drop__m1,e,0.836660028,42,original,existing_anchor,81.61688857269141,12,14,archive/evaluations/20260909_corrected_pcf_m_balance/tracking/trajectories/h2/006_S02_V3-01_drop__m1/pd66_006_S02_V3-01_drop__m1__eL3__s42.json
drop,006_S02_V3-01_drop__m1,e,0.948683321,42,original,existing_anchor,87.89893729856232,12,14,archive/evaluations/20260909_corrected_pcf_m_balance/tracking/trajectories/h2/006_S02_V3-01_drop__m1/pd66_006_S02_V3-01_drop__m1__eL4__s42.json
drop,006_S02_V3-01_drop__m1,e,0.374101,42,original,dense_addition,2.391351463499518,13,22,archive/evaluations/20260916_evidence_B_diverse_dense4_v01/tracking/trajectories/original/006_S02_V3-01_drop__m1/pd66_006_S02_V3-01_drop__m1__e0.374101__s42__original_diverse4.json
drop,006_S02_V3-01_drop__m1,e,0.431975,42,original,dense_addition,9.458300846397208,12,16,archive/evaluations/20260916_evidence_B_diverse_dense4_v01/tracking/trajectories/original/006_S02_V3-01_drop__m1/pd66_006_S02_V3-01_drop__m1__e0.431975__s42__original_diverse4.json
drop,006_S02_V3-01_drop__m1,e,0.489849,42,original,dense_addition,15.023251745909192,12,16,archive/evaluations/20260916_evidence_B_diverse_dense4_v01/tracking/trajectories/original/006_S02_V3-01_drop__m1/pd66_006_S02_V3-01_drop__m1__e0.489849__s42__original_diverse4.json
drop,006_S02_V3-01_drop__m1,e,0.587569,42,original,dense_addition,46.72890760665638,12,14,archive/evaluations/20260916_evidence_B_diverse_dense4_v01/tracking/trajectories/original/006_S02_V3-01_drop__m1/pd66_006_S02_V3-01_drop__m1__e0.587569__s42__original_diverse4.json
drop,006_S02_V3-01_drop__m1,e,0.627415,42,original,dense_addition,50.72176234724179,13,14,archive/evaluations/20260916_evidence_B_diverse_dense4_v01/tracking/trajectories/original/006_S02_V3-01_drop__m1/pd66_006_S02_V3-01_drop__m1__e0.627415__s42__original_diverse4.json
drop,006_S02_V3-01_drop__m1,e,0.667261,42,original,dense_addition,52.10325538573875,13,14,archive/evaluations/20260916_evidence_B_diverse_dense4_v01/tracking/trajectories/original/006_S02_V3-01_drop__m1/pd66_006_S02_V3-01_drop__m1__e0.667261__s42__original_diverse4.json
drop,006_S02_V3-01_drop__m1,e,0.739495,42,original,dense_addition,69.59200931535389,12,13,archive/evaluations/20260916_evidence_B_diverse_dense4_v01/tracking/trajectories/original/006_S02_V3-01_drop__m1/pd66_006_S02_V3-01_drop__m1__e0.739495__s42__original_diverse4.json
drop,006_S02_V3-01_drop__m1,e,0.771883,42,original,dense_addition,72.38580005404577,13,13,archive/evaluations/20260916_evidence_B_diverse_dense4_v01/tracking/trajectories/original/006_S02_V3-01_drop__m1/pd66_006_S02_V3-01_drop__m1__e0.771883__s42__original_diverse4.json
