case,scene,split,state,seed,task_id,obj,slot,frame,measured,readout,vx,vy,vx_readout,vy_readout
028_S06_E5-14_collision__m2__l2_e2,6,test,CENTER,42,pd66_028_S06_E5-14_collision__m2__l2_e2__CENTER__s42,0,1,2.5,0.18053228819258732,-1.4897359142347497,0.1636912364928776,-0.07613859846020432,0.930178419885018,-0.1958050890562515
028_S06_E5-14_collision__m2__l2_e2,6,test,CENTER,42,pd66_028_S06_E5-14_collision__m2__l2_e2__CENTER__s42,1,1,2.5,0.008832437575040153,-1.9327589133007184,-0.006494615773249279,-0.005985976902297807,3.8575184957903685,1.7046659476897736
028_S06_E5-14_collision__m2__l2_e2,6,test,CENTER,42,pd66_028_S06_E5-14_collision__m2__l2_e2__CENTER__s42,0,2,6.5,1.0915739625530223,0.5535474218612846,1.0877804106091844,0.09092576102855218,2.7661942702620523,1.57527138341748
028_S06_E5-14_collision__m2__l2_e2,6,test,CENTER,42,pd66_028_S06_E5-14_collision__m2__l2_e2__CENTER__s42,1,2,6.5,0.0037482072871938216,-2.139518323903702,0.0008233833085114384,0.0036566511721844107,2.431447488145417,1.8155646672025871
028_S06_E5-14_collision__m2__l2_e2,6,test,CENTER,42,pd66_028_S06_E5-14_collision__m2__l2_e2__CENTER__s42,0,3,10.5,6.568849784494298,4.717325768192079,6.563997328947198,-0.2524411947857061,7.67220811072267,1.1761420445876858
028_S06_E5-14_collision__m2__l2_e2,6,test,CENTER,42,pd66_028_S06_E5-14_collision__m2__l2_e2__CENTER__s42,1,3,10.5,0.0051084160636695975,-2.2274505079625637,0.004564619712868989,-0.0022935042089443415,4.321195253157041,1.3945246967977112
028_S06_E5-14_collision__m2__l2_e2,6,test,CENTER,42,pd66_028_S06_E5-14_collision__m2__l2_e2__CENTER__s42,0,4,14.5,3.6567627071872812,2.4481253886397334,3.6567465158537518,-0.010881887111111155,3.3935055903282425,0.17159257139027528
028_S06_E5-14_collision__m2__l2_e2,6,test,CENTER,42,pd66_028_S06_E5-14_collision__m2__l2_e2__CENTER__s42,1,4,14.5,1.0481758291695418,-0.270748467052659,1.0468131854085414,0.05342961454174429,2.1053338984924843,-0.9711621308053111
028_S06_E5-14_collision__m2__l2_e2,6,test,CENTER,42,pd66_028_S06_E5-14_collision__m2__l2_e2__CENTER__s42,0,5,18.5,1.8118855992542406,-2.7112602801900234,1.8100134931448337,0.08234427374466122,5.119221704467623,-0.18594258959508791
028_S06_E5-14_collision__m2__l2_e2,6,test,CENTER,42,pd66_028_S06_E5-14_collision__m2__l2_e2__CENTER__s42,1,5,18.5,3.1126797195816565,2.0441367832721675,3.1114588014600715,-0.08717318114876207,7.035369395482308,0.8451734148716106
028_S06_E5-14_collision__m2__l2_e2,6,test,CENTER,42,pd66_028_S06_E5-14_collision__m2__l2_e2__CENTER__s42,0,6,22.5,1.5295070198451761,-1.1432497063592786,1.5270001407834115,0.08753452920484506,3.901495464238483,0.8974289082020088
028_S06_E5-14_collision__m2__l2_e2,6,test,CENTER,42,pd66_028_S06_E5-14_collision__m2__l2_e2__CENTER__s42,1,6,22.5,2.5180779240611284,1.960936573399708,2.5180054104282363,0.019109806334222414,6.4546241666495305,0.3483190785059137
028_S06_E5-14_collision__m2__l2_e2,6,test,CENTER,42,pd66_028_S06_E5-14_collision__m2__l2_e2__CENTER__s42,0,7,26.5,1.8510483425674509,-0.24304740172307326,1.8510146867011827,-0.011162264027939272,4.245770413864,0.9770191911651473
028_S06_E5-14_collision__m2__l2_e2,6,test,CENTER,42,pd66_028_S06_E5-14_collision__m2__l2_e2__CENTER__s42,1,7,26.5,2.2837827562436575,1.8069564487510164,2.2837811464720517,0.00271159264597145,6.2423460334599215,0.5235670231921201
028_S06_E5-14_collision__m2__l2_e2,6,test,CENTER,42,pd66_028_S06_E5-14_collision__m2__l2_e2__CENTER__s42,0,8,30.5,1.833060771678559,-0.6477058972295637,1.8249586464411323,-0.17215612520774357,5.139708632310695,0.5505372445418043
028_S06_E5-14_collision__m2__l2_e2,6,test,CENTER,42,pd66_028_S06_E5-14_collision__m2__l2_e2__CENTER__s42,1,8,30.5,2.2019590192759053,2.244199575065903,2.201884062441627,-0.018168603030051144,5.8596111100635975,0.8401944376181101
028_S06_E5-14_collision__m2__l2_e2,6,test,CENTER,42,pd66_028_S06_E5-14_collision__m2__l2_e2__CENTER__s42,0,9,34.5,1.4046861676210791,-1.39344491151195,1.4012514339799054,-0.09817152476789488,5.625857789653631,1.1179925668171258
028_S06_E5-14_collision__m2__l2_e2,6,test,CENTER,42,pd66_028_S06_E5-14_collision__m2__l2_e2__CENTER__s42,1,9,34.5,1.9098453070763588,1.6062331824720255,1.908854092595766,-0.06152357387202301,6.094682033269845,1.136001516853246
028_S06_E5-14_collision__m2__l2_e2,6,test,CENTER,42,pd66_028_S06_E5-14_collision__m2__l2_e2__CENTER__s42,0,10,38.5,1.2164931440699778,-1.6907896596463754,1.2148333647759273,-0.06352531303707565,3.248718577365622,0.6012819348656433
028_S06_E5-14_collision__m2__l2_e2,6,test,CENTER,42,pd66_028_S06_E5-14_collision__m2__l2_e2__CENTER__s42,1,10,38.5,1.6667720106864554,0.943367231232771,1.6665707140278982,-0.025903489191819062,6.388710333372207,-0.11064875497934312
028_S06_E5-14_collision__m2__l2_e2,6,test,CENTER,42,pd66_028_S06_E5-14_collision__m2__l2_e2__CENTER__s42,0,11,42.5,0.9341437854961915,-1.2398414685457642,0.9241688557583985,-0.13614895529296972,3.4317841148013493,0.9259865716992262
028_S06_E5-14_collision__m2__l2_e2,6,test,CENTER,42,pd66_028_S06_E5-14_collision__m2__l2_e2__CENTER__s42,1,11,42.5,1.644886873869618,1.090023885166155,1.6448282561849283,-0.013886521674351116,5.2645118101380115,-0.041029120499691096
028_S06_E5-14_collision__m2__l2_e2,6,test,CENTER,42,pd66_028_S06_E5-14_collision__m2__l2_e2__CENTER__s42,0,12,46.5,0.5866607268221317,-1.5915821670426311,0.5756863475681712,-0.11294262976879281,2.149861569872585,0.566761116238187
028_S06_E5-14_collision__m2__l2_e2,6,test,CENTER,42,pd66_028_S06_E5-14_collision__m2__l2_e2__CENTER__s42,1,12,46.5,1.3963931550192707,1.3103916112389422,1.3944428259881534,-0.07377701833800074,5.789636940158706,1.4460933328203305
028_S06_E5-14_collision__m2__l2_e2,6,test,CENTER,3407,pd66_028_S06_E5-14_collision__m2__l2_e2__CENTER__s3407,0,1,2.5,0.7807442946784228,1.0401646654759134,-0.7806642385976261,0.011180350964821173,-0.2565565522418085,-0.3569737234982946
