model,case,seed,task_id,actual_model,route,prompt_type,confirmed_reject,uncertain_retained,D,I,D_raw,I_raw,D_uncertain_zero,I_uncertain_zero,visual_verdict,visual_reason,frames_reviewed,video
textonly,falling_ball,5318,morpheus_plain_falling_ball_s5318,textonly,original13,plain,False,False,0.982445125085405,0.9135838079718549,0.982445125085405,0.9135838079718549,0.982445125085405,0.9135838079718549,,,,morpheus/videos/video_0000.mp4
textonly,collision_equal,937,morpheus_plain_collision_equal_s937,textonly,original13,plain,True,False,0.0,0.0,0.8699727069396235,0.9388305329127793,0.0,0.0,,,,morpheus/videos/video_0001.mp4
ours,falling_apple,937,morpheus_plain_falling_apple_s937,ours,original13,plain,False,False,0.9872924144752855,0.8413717862359015,0.9872924144752855,0.8413717862359015,0.9872924144752855,0.8413717862359015,,,,morpheus/videos/video_0002.mp4
controlnet,collision_small_hits_big,937,morpheus_plain_collision_small_hits_big_s937,controlnet,original13,plain,True,False,0.0,0.0,0.7593536902539317,0.9987508089402606,0.0,0.0,,,,morpheus/videos/video_0003.mp4
textonly,collision_equal,5318,morpheus_plain_collision_equal_s5318,textonly,original13,plain,False,False,0.8902742887191848,0.9873403793929287,0.8902742887191848,0.9873403793929287,0.8902742887191848,0.9873403793929287,,,,morpheus/videos/video_0004.mp4
controlnet,falling_apple,937,morpheus_plain_falling_apple_s937,controlnet,original13,plain,False,False,0.8841561408974166,0.943467611125072,0.8841561408974166,0.943467611125072,0.8841561408974166,0.943467611125072,,,,morpheus/videos/video_0005.mp4
ours,collision_big_hits_small,1888,morpheus_plain_collision_big_hits_small_s1888,ours,original13,plain,False,False,0.7235484846229485,0.9055735918881269,0.7235484846229485,0.9055735918881269,0.7235484846229485,0.9055735918881269,,,,morpheus/videos/video_0006.mp4
ours,bouncing_ball,1888,morpheus_plain_bouncing_ball_s1888,ours,original13,plain,False,False,0.0,0.6895149134291415,0.0,0.6895149134291415,0.0,0.6895149134291415,,,,morpheus/videos/video_0007.mp4
controlnet,sliding_book,937,morpheus_plain_sliding_book_s937,controlnet,original13,plain,False,False,0.9622788496620891,0.6109382558579775,0.9622788496620891,0.6109382558579775,0.9622788496620891,0.6109382558579775,,,,morpheus/videos/video_0008.mp4
controlnet,falling_tape,937,morpheus_plain_falling_tape_s937,controlnet,original13,plain,False,False,0.9349866992621592,0.8460659599495516,0.9349866992621592,0.8460659599495516,0.9349866992621592,0.8460659599495516,,,,morpheus/videos/video_0009.mp4
textonly,falling_tape,937,morpheus_plain_falling_tape_s937,textonly,original13,plain,True,False,0.0,0.0,0.0,0.9448830105832112,0.0,0.0,,,,morpheus/videos/video_0010.mp4
ours,falling_apple,1888,morpheus_plain_falling_apple_s1888,ours,original13,plain,False,False,0.9991212152263277,0.8556406662266681,0.9991212152263277,0.8556406662266681,0.9991212152263277,0.8556406662266681,,,,morpheus/videos/video_0011.mp4
controlnet,collision_equal,5318,morpheus_plain_collision_equal_s5318,controlnet,original13,plain,False,False,0.4356784794590871,0.9819448234254362,0.4356784794590871,0.9819448234254362,0.4356784794590871,0.9819448234254362,,,,morpheus/videos/video_0012.mp4
textonly,sliding_book,5318,morpheus_plain_sliding_book_s5318,textonly,original13,plain,True,False,0.0,0.0,0.7179119882611693,0.9849794438962168,0.0,0.0,,,,morpheus/videos/video_0013.mp4
controlnet,falling_apple,1888,morpheus_plain_falling_apple_s1888,controlnet,original13,plain,False,False,0.9843212094323066,0.8831676658195929,0.9843212094323066,0.8831676658195929,0.9843212094323066,0.8831676658195929,,,,morpheus/videos/video_0014.mp4
textonly,falling_marker,5318,morpheus_plain_falling_marker_s5318_e4,textonly,original13,plain,True,False,0.0,0.0,0.0,0.8204245369173676,0.0,0.0,,,,morpheus/videos/video_0015.mp4
controlnet,collision_equal,937,morpheus_plain_collision_equal_s937,controlnet,original13,plain,True,False,0.0,0.0,0.6189757530119863,0.9922638322072859,0.0,0.0,,,,morpheus/videos/video_0016.mp4
controlnet,falling_ball,937,morpheus_plain_falling_ball_s937,controlnet,original13,plain,False,False,0.9988699110386975,0.9137170973348908,0.9988699110386975,0.9137170973348908,0.9988699110386975,0.9137170973348908,,,,morpheus/videos/video_0017.mp4
ours,collision_equal,1888,morpheus_plain_collision_equal_s1888,ours,original13,plain,False,True,0.0,0.8598392316710108,0.0,0.8598392316710108,0.0,0.0,,,,morpheus/videos/video_0018.mp4
textonly,falling_apple,5318,morpheus_plain_falling_apple_s5318,textonly,original13,plain,False,False,0.0,0.7579313830627012,0.0,0.7579313830627012,0.0,0.7579313830627012,,,,morpheus/videos/video_0019.mp4
ours,falling_marker,937,morpheus_plain_falling_marker_s937_e4,ours,original13,plain,False,False,0.9956611400204007,0.8135211145111958,0.9956611400204007,0.8135211145111958,0.9956611400204007,0.8135211145111958,,,,morpheus/videos/video_0020.mp4
textonly,collision_big_hits_small,937,morpheus_plain_collision_big_hits_small_s937,textonly,original13,plain,False,True,0.9999387875434013,0.9143923995535939,0.9999387875434013,0.9143923995535939,0.0,0.0,,,,morpheus/videos/video_0021.mp4
controlnet,sliding_book,5318,morpheus_plain_sliding_book_s5318,controlnet,original13,plain,False,False,0.8913381095318708,0.844080909815449,0.8913381095318708,0.844080909815449,0.8913381095318708,0.844080909815449,,,,morpheus/videos/video_0022.mp4
textonly,falling_apple,937,morpheus_plain_falling_apple_s937,textonly,original13,plain,False,False,0.9937873135312842,0.8474206066677317,0.9937873135312842,0.8474206066677317,0.9937873135312842,0.8474206066677317,,,,morpheus/videos/video_0023.mp4
controlnet,sliding_book,1888,morpheus_plain_sliding_book_s1888,controlnet,original13,plain,False,False,0.9890469590663413,0.6419210688127076,0.9890469590663413,0.6419210688127076,0.9890469590663413,0.6419210688127076,,,,morpheus/videos/video_0024.mp4
ours,collision_equal,937,morpheus_plain_collision_equal_s937,ours,original13,plain,False,True,0.9191128798878836,0.8641651639647103,0.9191128798878836,0.8641651639647103,0.0,0.0,,,,morpheus/videos/video_0025.mp4
controlnet,bouncing_ball,5318,morpheus_plain_bouncing_ball_s5318,controlnet,original13,plain,False,False,0.0,0.875347664339384,0.0,0.875347664339384,0.0,0.875347664339384,,,,morpheus/videos/video_0026.mp4
textonly,sliding_book,1888,morpheus_plain_sliding_book_s1888,textonly,original13,plain,True,False,0.0,0.0,0.7725141376947497,0.9800120308708732,0.0,0.0,,,,morpheus/videos/video_0027.mp4
controlnet,falling_ball,5318,morpheus_plain_falling_ball_s5318,controlnet,original13,plain,False,False,0.9941230764691651,0.9121883715977767,0.9941230764691651,0.9121883715977767,0.9941230764691651,0.9121883715977767,,,,morpheus/videos/video_0028.mp4
textonly,falling_apple,1888,morpheus_plain_falling_apple_s1888,textonly,original13,plain,False,False,0.9792375972343318,0.8899212474601256,0.9792375972343318,0.8899212474601256,0.9792375972343318,0.8899212474601256,,,,morpheus/videos/video_0029.mp4
ours,sliding_book,937,morpheus_plain_sliding_book_s937,ours,original13,plain,False,False,0.8683506913632028,0.6559990808873954,0.8683506913632028,0.6559990808873954,0.8683506913632028,0.6559990808873954,,,,morpheus/videos/video_0030.mp4
controlnet,bouncing_ball,937,morpheus_plain_bouncing_ball_s937,controlnet,original13,plain,False,False,0.0,0.723010244483801,0.0,0.723010244483801,0.0,0.723010244483801,,,,morpheus/videos/video_0031.mp4
controlnet,falling_tape,1888,morpheus_plain_falling_tape_s1888,controlnet,original13,plain,False,False,0.9899823071981528,0.8872332865152274,0.9899823071981528,0.8872332865152274,0.9899823071981528,0.8872332865152274,,,,morpheus/videos/video_0032.mp4
ours,falling_tape,1888,morpheus_plain_falling_tape_s1888,ours,original13,plain,False,False,0.9947262275172825,0.8318075831280108,0.9947262275172825,0.8318075831280108,0.9947262275172825,0.8318075831280108,,,,morpheus/videos/video_0033.mp4
ours,falling_ball,5318,morpheus_plain_falling_ball_s5318,ours,original13,plain,False,False,0.9751318853795056,0.8753467679805872,0.9751318853795056,0.8753467679805872,0.9751318853795056,0.8753467679805872,,,,morpheus/videos/video_0034.mp4
textonly,bouncing_ball,937,morpheus_plain_bouncing_ball_s937,textonly,original13,plain,True,False,0.0,0.0,0.0,0.9999999999999044,0.0,0.0,,,,morpheus/videos/video_0035.mp4
textonly,collision_small_hits_big,1888,morpheus_plain_collision_small_hits_big_s1888,textonly,original13,plain,False,False,0.9999152830267083,0.8621864899065121,0.9999152830267083,0.8621864899065121,0.9999152830267083,0.8621864899065121,,,,morpheus/videos/video_0036.mp4
ours,collision_big_hits_small,937,morpheus_plain_collision_big_hits_small_s937,ours,original13,plain,True,False,0.0,0.0,0.7419338747654789,0.9324159961835805,0.0,0.0,,,,morpheus/videos/video_0037.mp4
ours,falling_marker,1888,morpheus_plain_falling_marker_s1888_e4,ours,original13,plain,False,False,0.9380717191832098,0.8240282097153652,0.9380717191832098,0.8240282097153652,0.9380717191832098,0.8240282097153652,,,,morpheus/videos/video_0038.mp4
controlnet,collision_big_hits_small,937,morpheus_plain_collision_big_hits_small_s937,controlnet,original13,plain,False,False,0.9999006615496143,0.9478281779003395,0.9999006615496143,0.9478281779003395,0.9999006615496143,0.9478281779003395,,,,morpheus/videos/video_0039.mp4
ours,collision_small_hits_big,1888,morpheus_plain_collision_small_hits_big_s1888,ours,original13,plain,True,False,0.0,0.0,0.0,0.9383662455942474,0.0,0.0,,,,morpheus/videos/video_0040.mp4
textonly,collision_equal,1888,morpheus_plain_collision_equal_s1888,textonly,original13,plain,False,False,0.9360264586527117,0.9799125256558654,0.9360264586527117,0.9799125256558654,0.9360264586527117,0.9799125256558654,,,,morpheus/videos/video_0041.mp4
